category,spicy,garlic,nuts,dishId,name,nameCH,price,description
Appetizers,FALSE,FALSE,FALSE,A02,Cucumber mushroom salad,青瓜真菌沙律,6.95,
Appetizers,TRUE,FALSE,FALSE,A04,Fried enoki mushroom,椒鹽金針菇,(M) 7.95    (L) 10.95,
Appetizers,FALSE,FALSE,FALSE,A05,Fried oyster mushroom,香炸蠔菇,(M) 8.95    (L) 11.95,
Appetizers,FALSE,FALSE,FALSE,A06,VeGreen Salad,,8.95,"Avocado, quinoa, spinach, lettuce, cabbage, tomatoes, cucumber sesame oil based vinaigrette"
Appetizers,FALSE,FALSE,FALSE,A07,Veggie spring roll (2),素春捲,2.95,
Appetizers,FALSE,FALSE,FALSE,A08,Veggie dumpling (6),素餃子,5.5,
Appetizers,FALSE,FALSE,FALSE,A12,Fried Kale Chips,,5.5,
Appetizers,TRUE,FALSE,FALSE,A11,Salt & pepper chicken,椒鹽雞,6.95,
Appetizers,FALSE,FALSE,FALSE,A13,Vegan crab salad,素蟹肉沙律,5.95,
Appetizers,FALSE,FALSE,FALSE,A14,Seaweed salad,海帶沙律,4.95,
Appetizers,FALSE,FALSE,FALSE,A15,Pickled daikon radish,醬蘿蔔,4.95,
Appetizers,FALSE,FALSE,FALSE,A19,Crispy shrimp balls (6),香炸蝦球,5.95,
Appetizers,FALSE,FALSE,FALSE,A17,Roti canai,印度煎餅,5.5,
Appetizers,TRUE,FALSE,FALSE,A18,Salt & Pepper Eggplant,Crispy shrimp balls (6)   ----------------      5.95,9.95,
Appetizers,TRUE,FALSE,FALSE,A20,Buffalo chicken drumsticks (4),香辣雞翅,9.95,
Appetizers,FALSE,FALSE,FALSE,A21,Crab Rangoon (6),,6.95,
Appetizers,FALSE,FALSE,FALSE,A22,Beyond Burger Bun (1),,3.95,
Main_Course,TRUE,FALSE,FALSE,V03,Salt & Pepper Tofu,椒鹽豆腐,9.95,
Main_Course,FALSE,FALSE,FALSE,V08,Seafood mushroom,西葫白玉金碧綠,10.95,"Seafood mushroom, pumpkin and chayote"
